command,mean,stddev,median,user,system,min,max
perbase base-depth mate-fix 30X Original,2864.3065143651797,0,2864.3065143651797,29824.5177466,804.0373062399999,2864.3065143651797,2864.3065143651797
perbase base-depth mate-fix 30X N,2863.28122959918,0,2863.28122959918,30002.5069056,811.1395272399999,2863.28122959918,2863.28122959918
perbase base-depth mate-fix 30X IUPAC,2878.56540180218,0,2878.56540180218,30114.930560599998,815.54445124,2878.56540180218,2878.56540180218
perbase base-depth mate-fix 30X MapQualBaseQualN,2871.3906333311797,0,2871.3906333311797,30040.959387599996,814.72604324,2871.3906333311797,2871.3906333311797
perbase base-depth mate-fix 30X MapQualBaseQualIUPAC,2891.12305096118,0,2891.12305096118,30247.116994599997,816.52562924,2891.12305096118,2891.12305096118
perbase base-depth mate-fix 30X MapQualBaseQualFirstInPair,2892.54391205218,0,2892.54391205218,30111.7516596,825.84699424,2892.54391205218,2892.54391205218
perbase base-depth mate-fix 30X BaseQualMapQualN,2865.07261127618,0,2865.07261127618,30155.6135626,802.42448424,2865.07261127618,2865.07261127618
perbase base-depth mate-fix 30X BaseQualMapQualIUPAC,2879.48763208718,0,2879.48763208718,30077.537771599997,801.28300424,2879.48763208718,2879.48763208718
perbase base-depth mate-fix 30X BaseQualMapQualFirstInPair,2859.2258496751797,0,2859.2258496751797,29949.766096599997,817.6559562399999,2859.2258496751797,2859.2258496751797
perbase base-depth mate-fix 30X OLD,2673.07772243618,0,2673.07772243618,27678.6747406,640.08294224,2673.07772243618,2673.07772243618
sambamba depth base mate-fix 30X,6119.06864643018,0,6119.06864643018,6910.1791216,2338.81774824,6119.06864643018,6119.06864643018
